"","X","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","threeseason","fourseason","Month_factor"
"1",1,"Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0869677505944911,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Leopard-Lion","Apr",2012,30.75,"Cold Dry","Cold Wet",4
"2",4,"SaF03_1","Yolo1","SaF03","Yolo","Lion 10","Dog 29","Lion","Dog","SaF03-Yolo",0.0360214798542747,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Lion","Apr",2012,30.75,"Cold Dry","Cold Wet",4
"3",5,"Bobedi","SaF03_1","Bobedi","SaF03","Dog 7","Lion 10","Dog","Lion","Bobedi-SaF03",0.0074381805836465,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Lion","Jan",2012,138.971428571429,"Wet","Hot Wet",1
"4",6,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.0751094616309128,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May",2012,0,"Cold Dry","Cold Wet",5
"5",8,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.158222553914821,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"6",12,"Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.0504768428663103,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"7",13,"Doohan","Lea2","Doohan","Lea","Lion 4","Cheetah 3","Lion","Cheetah","Doohan-Lea",0.0375497521555364,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"8",14,"Doohan","Fredericks","Doohan","Fredericks","Lion 4","Cheetah 2","Lion","Cheetah","Doohan-Fredericks",0.0684881188267258,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"9",15,"Doohan","Ferrari","Doohan","Ferrari","Lion 4","Cheetah 1","Lion","Cheetah","Doohan-Ferrari",0.12897611818047,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"10",17,"Ferrari","SaF03_1","Ferrari","SaF03","Cheetah 1","Lion 10","Cheetah","Lion","Ferrari-SaF03",0.0540984794361407,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"11",18,"Fredericks","SaF07","Fredericks","SaF07","Cheetah 2","Lion 12","Cheetah","Lion","Fredericks-SaF07",0.0709153270808037,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"12",19,"Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0640120242060176,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"13",21,"Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.0373682474307062,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"14",22,"Lea2","SaF07","Lea","SaF07","Cheetah 3","Lion 12","Cheetah","Lion","Lea-SaF07",0.0821823427448246,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"15",23,"Lea2","SaF03_1","Lea","SaF03","Cheetah 3","Lion 10","Cheetah","Lion","Lea-SaF03",0.0277113272199539,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"16",26,"Qamar2","SaF03_1","Qamar","SaF03","Cheetah 5","Lion 10","Cheetah","Lion","Qamar-SaF03",0.076169302004315,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"17",27,"SaF03_1","Yolo2","SaF03","Yolo","Lion 10","Dog 29","Lion","Dog","SaF03-Yolo",0.113681504247111,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"18",29,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.059698537032455,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul",2012,0,"Cold Dry","Cold Dry",7
"19",30,"Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.23189342299645,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Leopard-Lion","Sep",2012,0.625,"Hot Dry","Hot Dry",9
"20",31,"Doohan","Fredericks","Doohan","Fredericks","Lion 4","Cheetah 2","Lion","Cheetah","Doohan-Fredericks",0.0836525864254031,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep",2012,0.625,"Hot Dry","Hot Dry",9
"21",33,"MJ","SaF03_1","MJ","SaF03","Dog 20","Lion 10","Dog","Lion","MJ-SaF03",0.0980552832564323,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Dog-Lion","Sep",2012,0.625,"Hot Dry","Hot Dry",9
"22",34,"Qamar2","SaF03_1","Qamar","SaF03","Cheetah 5","Lion 10","Cheetah","Lion","Qamar-SaF03",0.112350111248898,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Lion","Jul",2012,0,"Cold Dry","Cold Dry",7
"23",36,"Ferrari","SaF07","Ferrari","SaF07","Cheetah 1","Lion 12","Cheetah","Lion","Ferrari-SaF07",0.0812230794892763,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"24",37,"Qamar2","SaF08_1","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0.0625531406832197,2012,8,"2012-08","Dry","2012 Dry 3",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"25",38,"Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.0314970123675223,2012,10,"2012-10","Dry","2012 Dry 5",-0.03,-0.1,-0.2,0.14,0.12,6.5,6.5,6.5,1300.25,482,"Cheetah-Lion","Oct",2012,12.125,"Hot Dry","Hot Dry",10
"26",39,"Priya2","Stumpy","Priya","Stumpy","Cheetah 4","Lion 14","Cheetah","Lion","Priya-Stumpy",0.0578756739601093,2013,4,"2013-04","Wet","2013 Wet 4",-0.43,-1.2,-0.61,-0.65,-0.63,0,26.7,343.95,861.45,350.45,"Cheetah-Lion","Apr",2013,30.75,"Cold Dry","Cold Wet",4
"27",40,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.0503688505801082,2013,5,"2013-05","Wet","2013 Wet 5",1.03,-0.97,-0.5,-0.65,-0.65,0,8.99999999999999,318.7,861.45,350.45,"Cheetah-Lion","May",2013,0,"Cold Dry","Cold Wet",5
"28",41,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.0402313334007784,2013,6,"2013-06","Dry","2013 Dry 1",1.17,-0.6,-0.14,-0.66,-0.65,0,-1.06581410364015e-14,245.7,861.45,350.45,"Cheetah-Lion","Jun",2013,6.53571428571429,"Cold Dry","Cold Dry",6
"29",42,"Adiga1","Chloe1","Adiga","Chloe","Dog 2","Lion 3","Dog","Lion","Adiga-Chloe",0.0360366934862736,2013,9,"2013-09","Dry","2013 Dry 2",0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,"Dog-Lion","Sep",2013,0.625,"Hot Dry","Hot Dry",9
"30",43,"Qamar2","Stumpy","Qamar","Stumpy","Cheetah 5","Lion 14","Cheetah","Lion","Qamar-Stumpy",0.145867229318814,2013,7,"2013-07","Dry","2013 Dry 2",0,0.7,-1.19,-0.66,-0.66,0,-1.06581410364015e-14,26.7,861.45,350.45,"Cheetah-Lion","Jul",2013,0,"Cold Dry","Cold Dry",7
"31",44,"Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.0863406064263543,2014,1,"2014-01","Wet","2014 Wet 1",0.98,1.06,0.98,-0.04,-0.22,233.75,460.2,462.2,951.15,488.9,"Dog-Lion","Jan",2014,138.971428571429,"Wet","Hot Wet",1
"32",45,"Seronera","Stumpy","Seronera","Stumpy","Dog 24","Lion 14","Dog","Lion","Seronera-Stumpy",0.0430315739748994,2014,4,"2014-04","Wet","2014 Wet 4",0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,"Dog-Lion","Apr",2014,30.75,"Cold Dry","Cold Wet",4
"33",46,"Bali3","Stumpy","Bali","Stumpy","Dog 6","Lion 14","Dog","Lion","Bali-Stumpy",0.186300284228012,2014,10,"2014-10","Dry","2014 Dry 3",-0.8,-0.91,-1.03,0.76,0.88,0,0,5.6843418860808e-14,1052.4,706.45,"Dog-Lion","Oct",2014,12.125,"Hot Dry","Hot Dry",10
"34",47,"Bali1","SaF08_3","Bali","SaF08","Dog 6","Lion 13","Dog","Lion","Bali-SaF08",0.137763608777055,2015,3,"2015-03","Wet","2015 Wet 1",0.63,-0.48,-0.56,-0.58,0.7,106.5,170.8,348.5,1056.95,359.5,"Dog-Lion","Mar",2015,94.0271428571429,"Wet","Cold Wet",3
"35",48,"Lupe","SaF03_3","Lupe","SaF03","Dog 19","Lion 10","Dog","Lion","Lupe-SaF03",0.0450842842849431,2014,12,"2014-12","Wet","2015 Wet 1",0.94,0.34,0.33,0.7,0.76,153.8,177.7,177.7,1131.85,657.7,"Dog-Lion","Dec",2014,126.070769230769,"Wet","Hot Wet",12
"36",49,"SaF08_3","Xerxes1","SaF08","Xerxes","Lion 13","Dog 28","Lion","Dog","SaF08-Xerxes",0.0445427441325099,2014,12,"2014-12","Wet","2015 Wet 1",0.94,0.34,0.33,0.7,0.62,153.8,177.7,177.7,1131.85,657.7,"Dog-Lion","Dec",2014,126.070769230769,"Wet","Hot Wet",12
"37",50,"Lupe","SaF08_3","Lupe","SaF08","Dog 19","Lion 13","Dog","Lion","Lupe-SaF08",0.112765462439386,2015,1,"2015-01","Wet","2015 Wet 2",-0.92,-0.38,-0.49,0,0.7,47.3,225,225,960.15,471.25,"Dog-Lion","Jan",2015,138.971428571429,"Wet","Hot Wet",1
"38",51,"SaF03_3","Xerxes1","SaF03","Xerxes","Lion 10","Dog 28","Lion","Dog","SaF03-Xerxes",0.0461524666886875,2015,1,"2015-01","Wet","2015 Wet 2",-0.92,-0.38,-0.49,0,0.7,47.3,225,225,960.15,471.25,"Dog-Lion","Jan",2015,138.971428571429,"Wet","Hot Wet",1
"39",52,"Adiga2","Envy2","Adiga","Envy","Dog 2","Lion 5","Dog","Lion","Adiga-Envy",0.0452247211962449,2015,3,"2015-03","Wet","2015 Wet 4",0.63,-0.48,-0.56,-0.58,-0.36,106.5,170.8,348.5,1056.95,359.5,"Dog-Lion","Mar",2015,94.0271428571429,"Wet","Cold Wet",3
"40",53,"SaF03_3","Xerxes1","SaF03","Xerxes","Lion 10","Dog 28","Lion","Dog","SaF03-Xerxes",0.026047277493182,2015,4,"2015-04","Wet","2015 Wet 5",1.18,0.1,-0.33,-0.41,-0.58,47.2,170.7,395.7,1104.15,395.7,"Dog-Lion","Apr",2015,30.75,"Cold Dry","Cold Wet",4
"41",54,"Bali1","SaF08_3","Bali","SaF08","Dog 6","Lion 13","Dog","Lion","Bali-SaF08",0.0854213379272192,2015,8,"2015-08","Dry","2015 Dry 1",0,1.17,0.76,-0.41,-0.41,0,-1.4210854715202e-14,153.7,1104.15,395.7,"Dog-Lion","Aug",2015,0,"Hot Dry","Cold Dry",8
"42",55,"Buzz","Charles","Buzz","Charles","Lion 1","Leopard 2","Lion","Leopard","Buzz-Charles",0.166517979869633,2015,9,"2015-09","Dry","2015 Dry 1",0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,"Leopard-Lion","Sep",2015,0.625,"Hot Dry","Hot Dry",9
"43",56,"Charles","Hector","Charles","Hector","Leopard 2","Lion 6","Leopard","Lion","Charles-Hector",0.210089225458935,2015,9,"2015-09","Dry","2015 Dry 1",0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,"Leopard-Lion","Sep",2015,0.625,"Hot Dry","Hot Dry",9
"44",57,"Goose3","SaF03_3","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0601761650317419,2015,9,"2015-09","Dry","2015 Dry 1",0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,"Leopard-Lion","Sep",2015,0.625,"Hot Dry","Hot Dry",9
"45",58,"Pride","Qamar3","Pride","Qamar","Lion 9","Cheetah 5","Lion","Cheetah","Pride-Qamar",0.0595345782185565,2015,9,"2015-09","Dry","2015 Dry 1",0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,"Cheetah-Lion","Sep",2015,0.625,"Hot Dry","Hot Dry",9
"46",59,"Qamar3","SaF08_3","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0.0751681126283823,2015,9,"2015-09","Dry","2015 Dry 1",0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,"Cheetah-Lion","Sep",2015,0.625,"Hot Dry","Hot Dry",9
"47",60,"Bali1","SaF08_3","Bali","SaF08","Dog 6","Lion 13","Dog","Lion","Bali-SaF08",0.0785749708394341,2015,9,"2015-09","Dry","2015 Dry 2",0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,"Dog-Lion","Sep",2015,0.625,"Hot Dry","Hot Dry",9
"48",62,"Goose3","Hector","Goose","Hector","Leopard 3","Lion 6","Leopard","Lion","Goose-Hector",0.052972109597251,2015,10,"2015-10","Dry","2015 Dry 2",-0.51,-0.49,-0.55,-0.18,-0.41,2,2.74999999999999,2.75000000000004,1104.9,398.45,"Leopard-Lion","Oct",2015,12.125,"Hot Dry","Hot Dry",10
"49",63,"Hector","Qamar3","Hector","Qamar","Lion 6","Cheetah 5","Lion","Cheetah","Hector-Qamar",0.0555076889769856,2015,7,"2015-07","Dry","2015 Dry 2",0,0.7,0.08,-0.41,-0.41,0,-1.4210854715202e-14,170.7,1104.15,395.7,"Cheetah-Lion","Jul",2015,0,"Cold Dry","Cold Dry",7
"50",65,"Bali1","Hector","Bali","Hector","Dog 6","Lion 6","Dog","Lion","Bali-Hector",0.0348097467212138,2015,11,"2015-11","Dry","2015 Dry 4",-0.78,-0.94,-0.95,-0.26,-0.18,17.05,19.8,19.8,1040.95,391.6,"Dog-Lion","Nov",2015,38.3230769230769,"Hot Dry","Hot Dry",11
"51",66,"Bali1","SaF08_3","Bali","SaF08","Dog 6","Lion 13","Dog","Lion","Bali-SaF08",0.0489617395248021,2015,11,"2015-11","Dry","2015 Dry 4",-0.78,-0.94,-0.95,-0.26,-0.18,17.05,19.8,19.8,1040.95,391.6,"Dog-Lion","Nov",2015,38.3230769230769,"Hot Dry","Hot Dry",11
"52",67,"Buzz","Xerxes2","Buzz","Xerxes","Lion 1","Dog 28","Lion","Dog","Buzz-Xerxes",0.0307241829623518,2015,12,"2015-12","Wet","2016 Wet 1",-0.21,-0.54,-0.54,-0.49,-0.26,75.9,94.95,95.7,971.4,313.7,"Dog-Lion","Dec",2015,126.070769230769,"Wet","Hot Wet",12
"53",68,"Buzz","Goose3","Buzz","Goose","Lion 1","Leopard 3","Lion","Leopard","Buzz-Goose",0.069224832522943,2015,12,"2015-12","Wet","2016 Wet 1",-0.21,-0.54,-0.54,-0.49,-0.26,75.9,94.95,95.7,971.4,313.7,"Leopard-Lion","Dec",2015,126.070769230769,"Wet","Hot Wet",12
"54",70,"Fiji","SaF08_3","Fiji","SaF08","Dog 12","Lion 13","Dog","Lion","Fiji-SaF08",0.0365825771203795,2016,4,"2016-04","Wet","2016 Wet 1",0.96,0.74,0.1,0.03,-0.29,42.05,280.18,486.18,884.63,488.93,"Dog-Lion","Apr",2016,30.75,"Cold Dry","Cold Wet",4
"55",71,"Fiji","Hector","Fiji","Hector","Dog 12","Lion 6","Dog","Lion","Fiji-Hector",0.0240456047825131,2016,4,"2016-04","Wet","2016 Wet 1",0.96,0.74,0.1,0.03,-0.29,42.05,280.18,486.18,884.63,488.93,"Dog-Lion","Apr",2016,30.75,"Cold Dry","Cold Wet",4
"56",73,"Hector","Qamar3","Hector","Qamar","Lion 6","Cheetah 5","Lion","Cheetah","Hector-Qamar",0.0344205029439614,2015,12,"2015-12","Wet","2016 Wet 1",-0.21,-0.54,-0.54,-0.49,-0.26,75.9,94.95,95.7,971.4,313.7,"Cheetah-Lion","Dec",2015,126.070769230769,"Wet","Hot Wet",12
"57",75,"Buzz","Xerxes2","Buzz","Xerxes","Lion 1","Dog 28","Lion","Dog","Buzz-Xerxes",0.0612705035890005,2016,1,"2016-01","Wet","2016 Wet 2",0.02,-0.55,-0.63,-0.46,-0.49,113.05,206,208.75,850.7,379.45,"Dog-Lion","Jan",2016,138.971428571429,"Wet","Hot Wet",1
"58",76,"Buzz","Goose3","Buzz","Goose","Lion 1","Leopard 3","Lion","Leopard","Buzz-Goose",0.0542366088611424,2016,1,"2016-01","Wet","2016 Wet 2",0.02,-0.55,-0.63,-0.46,-0.49,113.05,206,208.75,850.7,379.45,"Leopard-Lion","Jan",2016,138.971428571429,"Wet","Hot Wet",1
"59",78,"Pride","Qamar3","Pride","Qamar","Lion 9","Cheetah 5","Lion","Cheetah","Pride-Qamar",0.0947604996082947,2016,1,"2016-01","Wet","2016 Wet 2",0.02,-0.55,-0.63,-0.46,-0.49,113.05,206,208.75,850.7,379.45,"Cheetah-Lion","Jan",2016,138.971428571429,"Wet","Hot Wet",1
"60",79,"Buzz","Xerxes2","Buzz","Xerxes","Lion 1","Dog 28","Lion","Dog","Buzz-Xerxes",0.0559540116530892,2016,2,"2016-02","Wet","2016 Wet 3",-0.3,-0.53,-0.74,-0.29,-0.46,49.75,238.7,258.5,809.7,412.2,"Dog-Lion","Feb",2016,97.4785714285714,"Wet","Hot Wet",2
"61",80,"Buzz","Xerxes2","Buzz","Xerxes","Lion 1","Dog 28","Lion","Dog","Buzz-Xerxes",0.0288105536387617,2016,3,"2016-03","Wet","2016 Wet 4",1.34,0.44,-0.04,0.08,-0.29,188.38,351.18,446.13,853.58,494.08,"Dog-Lion","Mar",2016,94.0271428571429,"Wet","Cold Wet",3
"62",82,"SaF03_3","Xerxes2","SaF03","Xerxes","Lion 10","Dog 28","Lion","Dog","SaF03-Xerxes",0.0390859170248901,2016,3,"2016-03","Wet","2016 Wet 4",1.34,0.44,-0.04,0.08,-0.29,188.38,351.18,446.13,853.58,494.08,"Dog-Lion","Mar",2016,94.0271428571429,"Wet","Cold Wet",3
"63",83,"Qamar3","SaF08_3","Qamar","SaF08","Cheetah 5","Lion 13","Cheetah","Lion","Qamar-SaF08",0.054725396129159,2016,4,"2016-04","Wet","2016 Wet 5",0.96,0.74,0.1,0.03,0.08,42.05,280.18,486.18,884.63,488.93,"Cheetah-Lion","Apr",2016,30.75,"Cold Dry","Cold Wet",4
"64",84,"Fiji","Pride","Fiji","Pride","Dog 12","Lion 9","Dog","Lion","Fiji-Pride",0.0174818280939979,2016,8,"2016-08","Dry","2016 Dry 1",0,1.17,1.3,0.03,0.03,0,-4.2632564145606e-14,230.43,884.63,488.93,"Dog-Lion","Aug",2016,0,"Hot Dry","Cold Dry",8
"65",85,"Buzz","Goose2","Buzz","Goose","Lion 1","Leopard 3","Lion","Leopard","Buzz-Goose",0.0462263195379221,2016,12,"2016-12","Wet","2017 Wet 1",0.32,-0.03,-0.04,0.34,0.16,108.52,139.02,139.02,845.95,532.25,"Leopard-Lion","Dec",2016,126.070769230769,"Wet","Hot Wet",12
"66",86,"SaF03_4","Thaba","SaF03","Thaba","Lion 10","Leopard 8","Lion","Leopard","SaF03-Thaba",0.0397972347766981,2016,12,"2016-12","Wet","2017 Wet 1",0.32,-0.03,-0.04,0.34,0.16,108.52,139.02,139.02,845.95,532.25,"Leopard-Lion","Dec",2016,126.070769230769,"Wet","Hot Wet",12
"67",87,"SaF03_4","Thaba","SaF03","Thaba","Lion 10","Leopard 8","Lion","Leopard","SaF03-Thaba",0.0539774055122894,2017,1,"2017-01","Wet","2017 Wet 2",0.88,0.52,0.42,0.65,0.34,217,356.02,356.02,1015.65,636.2,"Leopard-Lion","Jan",2017,138.971428571429,"Wet","Hot Wet",1
"68",88,"Molelo","SaF08_3","Molelo","SaF08","Leopard 4","Lion 13","Leopard","Lion","Molelo-SaF08",0.0678006846843146,2017,2,"2017-02","Wet","2017 Wet 3",1.61,1.42,1.11,1.37,0.65,282,607.52,638.02,1280.65,868.45,"Leopard-Lion","Feb",2017,97.4785714285714,"Wet","Hot Wet",2
"69",89,"SaF03_4","Thaba","SaF03","Thaba","Lion 10","Leopard 8","Lion","Leopard","SaF03-Thaba",0.036656230279737,2017,2,"2017-02","Wet","2017 Wet 3",1.61,1.42,1.11,1.37,0.65,282,607.52,638.02,1280.65,868.45,"Leopard-Lion","Feb",2017,97.4785714285714,"Wet","Hot Wet",2
"70",90,"SaF03_4","Thaba","SaF03","Thaba","Lion 10","Leopard 8","Lion","Leopard","SaF03-Thaba",0.103114215596645,2017,4,"2017-04","Wet","2017 Wet 5",0.79,1.22,1.1,1.01,1.02,32,402,758.02,1246.95,758.02,"Leopard-Lion","Apr",2017,30.75,"Cold Dry","Cold Wet",4
"71",91,"Pavarotti","SaF03_4","Pavarotti","SaF03","Leopard 5","Lion 10","Leopard","Lion","Pavarotti-SaF03",0.0615846876851923,2017,7,"2017-07","Dry","2017 Dry 1",0,0.7,1.17,1.02,1.02,0,0,402,1246.95,758.02,"Leopard-Lion","Jul",2017,0,"Cold Dry","Cold Dry",7
"72",92,"RraMowa","SaF03_4","RraMowa","SaF03","Leopard 7","Lion 10","Leopard","Lion","RraMowa-SaF03",0.086991395590071,2017,7,"2017-07","Dry","2017 Dry 1",0,0.7,1.17,1.02,1.02,0,0,402,1246.95,758.02,"Leopard-Lion","Jul",2017,0,"Cold Dry","Cold Dry",7
"73",93,"Goose2","SaF03_4","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0265786862482416,2017,7,"2017-07","Dry","2017 Dry 2",0,0.7,1.17,1.02,1.02,0,0,402,1246.95,758.02,"Leopard-Lion","Jul",2017,0,"Cold Dry","Cold Dry",7
"74",94,"Pavarotti","SaF03_4","Pavarotti","SaF03","Leopard 5","Lion 10","Leopard","Lion","Pavarotti-SaF03",0.0126527169027509,2017,8,"2017-08","Dry","2017 Dry 2",0,1.17,0.42,1.02,1.02,0,0,120,1246.95,758.02,"Leopard-Lion","Aug",2017,0,"Hot Dry","Cold Dry",8
"75",95,"Rolo","SaF08_3","Rolo","SaF08","Leopard 6","Lion 13","Leopard","Lion","Rolo-SaF08",0.0130242297389257,2017,8,"2017-08","Dry","2017 Dry 2",0,1.17,0.42,1.02,1.02,0,0,120,1246.95,758.02,"Leopard-Lion","Aug",2017,0,"Hot Dry","Cold Dry",8
"76",96,"Pavarotti","SaF03_4","Pavarotti","SaF03","Leopard 5","Lion 10","Leopard","Lion","Pavarotti-SaF03",0.138661971630915,2017,10,"2017-10","Dry","2017 Dry 4",0.94,0.86,0.61,0.92,1.02,22,22,22,1266.2,780.02,"Leopard-Lion","Oct",2017,12.125,"Hot Dry","Hot Dry",10
"77",97,"Rolo","SaF03_4","Rolo","SaF03","Leopard 6","Lion 10","Leopard","Lion","Rolo-SaF03",0.0909045721205636,2017,10,"2017-10","Dry","2017 Dry 4",0.94,0.86,0.61,0.92,1.02,22,22,22,1266.2,780.02,"Leopard-Lion","Oct",2017,12.125,"Hot Dry","Hot Dry",10
